Energy,Ek,Ep
169.196219,1.294311,167.901909
170.125570,1.298506,168.827064
171.054326,1.302603,169.751724
171.982617,1.306737,170.675880
172.910677,1.310840,171.599837
173.838194,1.314846,172.523348
174.765646,1.319026,173.446620
175.692464,1.323121,174.369342
176.618778,1.327233,175.291545
177.544659,1.331336,176.213323
178.470015,1.335433,177.134582
179.395029,1.339512,178.055517
180.319428,1.343632,178.975796
181.243359,1.347738,179.895621
182.166696,1.351856,180.814840
183.089548,1.355929,181.733618
184.011700,1.359995,182.651705
184.933487,1.364061,183.569426
185.854698,1.368158,184.486539
186.775324,1.372155,185.403170
187.695327,1.376273,186.319054
188.614914,1.380256,187.234658
189.533968,1.384339,188.149629
190.452317,1.388447,189.063870
191.369974,1.392487,189.977487
192.287252,1.396606,190.890645
193.203619,1.400571,191.803048
194.119373,1.404590,192.714783
195.034665,1.408577,193.626088
195.949423,1.412674,194.536748
196.863443,1.416761,195.446682
197.776647,1.420718,196.355929
198.689312,1.424824,197.264488
199.601315,1.428781,198.172534
200.512545,1.432750,199.079794
201.423219,1.436794,199.986425
202.333204,1.440766,200.892438
203.242571,1.444766,201.797805
204.151202,1.448734,202.702467
205.059158,1.452792,203.606366
205.966365,1.456736,204.509629
206.872965,1.460812,205.412153
207.778621,1.464756,206.313865
208.683633,1.468730,207.214903
209.587912,1.472794,208.115118
210.491399,1.476604,209.014795
211.394288,1.480607,209.913681
212.296449,1.484511,210.811938
213.197963,1.488454,211.709509
214.098829,1.492452,212.606377
214.998729,1.496418,213.502311
215.897916,1.500324,214.397592
216.796467,1.504267,215.292200
217.694256,1.508298,216.185959
218.591040,1.512136,217.078903
219.487286,1.516015,217.971271
220.382815,1.519929,218.862886
221.277576,1.523902,219.753674
222.171539,1.527828,220.643710
223.064726,1.531681,221.533045
223.957089,1.535514,222.421575
224.848965,1.539461,223.309504
225.739
